ID,MAP,Struct,is_display,
422,5,34100,1,101
423,5,34200,1,110
424,5,40005,1,314
425,5,40002,1,305
426,5,43001,0,302
427,6,38100,1,124
428,6,30301,1,113
429,6,30001,1,100
430,6,38001,1,101
431,6,32102,1,117
432,6,32001,1,109
433,6,32201,1,103
434,6,34002,1,104
435,6,34100,1,111
436,6,34003,1,106
437,6,34100,1,107
438,6,45010,1,356
439,6,41000,1,300
440,6,41000,1,308
441,6,41000,1,116
442,6,45000,1,302
443,6,40003,1,314
444,6,43000,0,312
445,6,43400,0,301
446,6,46810,1,757
447,6,46530,1,756
448,6,49420,1,190
449,6,46740,1,753
450,6,46640,1,758
451,6,46660,1,761
452,6,46580,1,762
453,6,46570,1,755
454,6,46690,1,754
455,6,46720,1,759
456,6,46550,1,760
457,6,46620,1,763
458,6,46590,1,750
459,6,46801,1,607
460,6,46605,1,604
461,6,46503,1,605
462,6,46505,1,602
463,6,46703,1,601
464,6,46602,1,606
465,6,46704,1,603
466,6,30001,1,313
467,6,38100,1,114
468,6,32201,1,112
469,6,34002,1,110
470,6,34002,1,307
471,6,43400,0,310
472,6,43400,0,305
473,6,43000,0,307
474,7,38001,1,128
475,7,30000,1,107
476,7,30300,1,111
477,7,38000,1,117
478,7,32000,1,112
479,7,32200,1,104
480,7,32001,1,101
481,7,34300,1,100
482,7,34100,1,109
483,7,34003,1,103
484,7,34003,1,113
485,7,43411,0,362
486,7,41000,1,308
487,7,41000,1,300
488,7,41000,1,116
489,7,45000,1,310
490,7,40004,1,302
491,7,43501,0,307
492,7,43000,0,314
493,7,46880,1,757
494,7,46540,1,756
495,7,49430,1,190
496,7,46740,1,760
497,7,46640,1,759
498,7,46680,1,754
499,7,46580,1,763
500,7,45510,1,761
501,7,46570,1,750
502,7,46710,1,762
503,7,46720,1,753
504,7,46550,1,758
505,7,46770,1,755
506,7,46606,1,602
507,7,46605,1,605
508,7,46502,1,607
509,7,46505,1,606
510,7,46604,1,604
511,7,46704,1,601
512,7,46701,1,603
513,7,38001,1,313
514,7,32200,1,110
515,7,32200,1,106
516,7,34300,1,307
517,7,34100,1,120
518,7,37900,1,305
519,7,45000,1,306
520,7,40001,1,301
521,8,30001,1,121
522,8,30000,1,313
523,8,38101,1,103
524,8,38001,1,100
525,8,32001,1,120
526,8,32101,1,112
527,8,32200,1,307
528,8,34200,1,107
529,8,34103,1,110
530,8,34001,1,114
531,8,34200,1,113
532,8,41010,1,350
533,8,41000,1,108
534,8,41000,1,301
535,8,41000,1,314
536,8,45000,1,116
537,8,40007,1,302
538,8,43501,0,310
539,8,43401,0,308
540,8,46880,1,757
541,8,46660,1,756
542,8,49430,1,190
543,8,46520,1,760
544,8,46580,1,755
545,8,46530,1,763
546,8,46670,1,758
547,8,46770,1,750
548,8,46570,1,754
549,8,46690,1,759
550,8,46710,1,762
551,8,46550,1,761
552,8,46510,1,753
553,8,46060,0,658
554,8,46030,0,639
555,8,46000,0,618
556,8,46010,0,626
557,8,46020,0,622
558,8,46040,0,645
559,8,46050,0,631
560,8,46030,0,660
561,8,46010,0,651
562,8,46040,0,615
563,8,46000,0,629
564,8,46020,0,661
565,8,46000,0,621
566,8,46040,0,640
567,8,46000,0,652
568,8,46000,0,634
569,8,46030,0,647
570,8,46040,0,623
571,8,46040,0,630
572,8,46000,0,617
573,8,46030,0,625
574,8,46010,0,641
575,8,46050,0,646
576,8,46030,0,636
577,8,46030,0,662
578,8,46000,0,633
579,8,46040,0,624
580,8,46030,0,642
581,8,46040,0,632
582,8,46050,0,653
583,8,46020,0,648
584,8,46020,0,650
585,8,46010,0,654
586,8,46010,0,619
587,8,46010,0,620
588,8,46050,0,628
589,8,46060,0,656
590,8,46010,0,659
591,8,46050,0,627
592,8,46060,0,643
593,8,46050,0,637
594,8,46050,0,638
595,8,46020,0,649
596,8,46060,0,657
597,8,46020,0,616
598,8,46060,0,635
599,8,46020,0,655
600,8,46060,0,644
601,8,46602,1,604
602,8,46604,1,601
603,8,46503,1,607
604,8,46704,1,605
605,8,46701,1,606
606,8,46502,1,602
607,8,46605,1,603
608,8,30000,1,106
609,8,38001,1,109
610,8,32101,1,117
611,8,34200,1,104
612,8,34200,1,111
613,8,37900,1,306
614,8,45000,1,305
615,8,40009,1,312
616,9,30301,1,126
617,9,30001,1,111
618,9,38001,1,104
619,9,38000,1,120
620,9,32001,1,107
621,9,32102,1,313
622,9,32000,1,112
623,9,34003,1,110
624,9,34101,1,114
625,9,34103,1,113
626,9,34003,1,100
627,9,41010,1,358
628,9,41000,1,305
629,9,41000,1,306
630,9,41000,1,300
631,9,45000,1,302
632,9,40003,1,310
633,9,43001,0,301
634,9,43501,0,312
635,9,46880,1,757
636,9,46540,1,756
637,9,49430,1,190
638,9,46580,1,755
639,9,46660,1,754
640,9,46670,1,759
641,9,46630,1,763
642,9,46510,1,760
643,9,46770,1,753
644,9,46710,1,750
645,9,46720,1,762
646,9,46620,1,758
647,9,46550,1,761
648,9,46605,1,607
649,9,46604,1,606
650,9,46701,1,601
651,9,46602,1,602
652,9,46504,1,604
653,9,46503,1,605
654,9,46704,1,603
655,9,30301,1,101
656,9,38001,1,117
657,9,32102,1,103
658,9,32001,1,106
659,9,34103,1,109
660,9,43001,0,307
661,9,43001,0,314
662,9,43001,0,313
663,10,38101,1,121
664,10,30001,1,117
665,10,30301,1,107
666,10,38100,1,110
667,10,32200,1,100
668,10,32102,1,120
669,10,32000,1,113
670,10,34200,1,106
671,10,34001,1,104
672,10,34103,1,111
673,10,34200,1,109
674,10,41010,1,350
675,10,41000,1,108
676,10,41000,1,116
677,10,41000,1,302
678,10,45000,1,314
679,10,40001,1,312
680,10,43001,0,305
681,10,43000,0,310
682,10,46880,1,757
683,10,46520,1,756
684,10,49410,1,190
685,10,46540,1,761
686,10,46530,1,754
687,10,46660,1,750
688,10,46740,1,763
689,10,46720,1,753
690,10,46570,1,758
691,10,46710,1,762
692,10,45510,1,760
693,10,46770,1,755
694,10,46550,1,759
695,10,46000,0,629
696,10,46010,0,649
697,10,46050,0,655
698,10,46030,0,620
699,10,46060,0,651
700,10,46020,0,636
701,10,46040,0,659
702,10,46040,0,660
703,10,46030,0,646
704,10,46000,0,626
705,10,46010,0,662
706,10,46050,0,622
707,10,46020,0,617
708,10,46000,0,619
709,10,46030,0,623
710,10,46040,0,618
711,10,46020,0,639
712,10,46000,0,648
713,10,46050,0,625
714,10,46030,0,650
715,10,46050,0,657
716,10,46050,0,630
717,10,46020,0,640
718,10,46000,0,652
719,10,46000,0,616
720,10,46030,0,635
721,10,46020,0,645
722,10,46060,0,656
723,10,46060,0,644
724,10,46040,0,632
725,10,46060,0,637
726,10,46060,0,624
727,10,46010,0,628
728,10,46020,0,658
729,10,46060,0,641
730,10,46040,0,653
731,10,46010,0,631
732,10,46020,0,627
733,10,46040,0,661
734,10,46030,0,638
735,10,46000,0,654
736,10,46040,0,621
737,10,46060,0,642
738,10,46050,0,615
739,10,46030,0,647
740,10,46050,0,643
741,10,46060,0,633
742,10,46060,0,634
743,10,46603,1,604
744,10,46606,1,606
745,10,46504,1,601
746,10,46700,1,605
747,10,46505,1,602
748,10,46604,1,607
749,10,46701,1,603
750,10,30001,1,114
751,10,30001,1,103
752,10,38101,1,307
753,10,32000,1,313
754,10,34200,1,112
755,10,37900,1,301
756,10,43001,0,308
757,10,43000,0,306
758,11,20800,1,109
759,11,38001,1,128
760,11,30301,1,107
761,11,30000,1,110
762,11,38000,1,101
763,11,32000,1,104
764,11,32001,1,313
765,11,32200,1,120
766,11,34002,1,111
767,11,34200,1,113
768,11,34104,1,100
769,11,34104,1,106
770,11,43410,0,362
771,11,41000,1,305
772,11,41000,1,308
773,11,41000,1,116
774,11,45000,1,301
775,11,40003,1,314
776,11,43001,0,302
777,11,43400,0,310
778,11,46910,1,757
779,11,46660,1,756
780,11,49420,1,190
781,11,46640,1,759
782,11,46580,1,755
783,11,46680,1,753
784,11,46630,1,760
785,11,45510,1,750
786,11,46570,1,761
787,11,46550,1,763
788,11,46620,1,754
789,11,46510,1,762
790,11,46690,1,758
791,11,46701,1,604
792,11,46503,1,602
793,11,46504,1,606
794,11,46703,1,605
795,11,46603,1,607
796,11,46606,1,601
797,11,46605,1,603
798,11,32200,1,117
799,11,34200,1,112
800,11,34104,1,103
801,11,34104,1,307
802,11,40009,1,306
803,11,40005,1,108
804,11,43001,0,300
805,12,38101,1,122
806,12,30301,1,313
807,12,30001,1,101
808,12,38000,1,103
809,12,32102,1,111
810,12,32101,1,113
811,12,32000,1,109
812,12,34102,1,106
813,12,34100,1,117
814,12,34002,1,307
815,12,34002,1,114
816,12,43010,0,351
817,12,41000,1,306
818,12,41000,1,300
819,12,41000,1,116
820,12,45000,1,314
821,12,40002,1,310
822,12,43501,0,312
823,12,43000,0,302
824,12,46810,1,757
825,12,46740,1,756
826,12,49420,1,190
827,12,46640,1,755
828,12,46660,1,760
829,12,46680,1,754
830,12,46580,1,759
831,12,46690,1,761
832,12,46550,1,763
833,12,46720,1,750
834,12,46510,1,758
835,12,46590,1,753
836,12,46650,1,762
837,12,46602,1,604
838,12,46703,1,602
839,12,46502,1,607
840,12,46505,1,605
841,12,46603,1,606
842,12,46702,1,601
843,12,46606,1,603
844,12,30301,1,104
845,12,30301,1,110
846,12,32102,1,120
847,12,34102,1,107
848,12,34002,1,112
849,12,45000,1,305
850,12,40005,1,308
851,12,40009,1,108
852,13,38101,1,121
853,13,30300,1,110
854,13,30000,1,107
855,13,38001,1,104
856,13,32200,1,112
857,13,32102,1,109
858,13,32000,1,103
859,13,34003,1,307
860,13,34002,1,106
861,13,34000,1,114
862,13,34002,1,120
863,13,43010,0,350
864,13,41000,1,306
865,13,41000,1,116
866,13,41000,1,108
867,13,45000,1,305
868,13,40001,1,308
869,13,43000,0,310
870,13,43501,0,301
871,13,46870,1,757
872,13,46670,1,756
873,13,49420,1,190
874,13,46630,1,760
875,13,46680,1,755
876,13,46580,1,753
877,13,46640,1,762
878,13,46550,1,758
879,13,46710,1,761
880,13,46620,1,750
881,13,46720,1,763
882,13,46590,1,754
883,13,46650,1,759
884,13,46801,1,603
885,13,46605,1,604
886,13,46503,1,605
887,13,46704,1,606
888,13,46502,1,601
889,13,46606,1,607
890,13,46700,1,602
891,13,30000,1,100
892,13,32200,1,113
893,13,32200,1,117
894,13,32102,1,111
895,13,34000,1,313
896,13,37900,1,302
897,13,43501,0,312
898,13,43000,0,314
899,14,38101,1,121
900,14,30300,1,103
901,14,30000,1,104
902,14,38000,1,313
903,14,32200,1,113
904,14,32001,1,111
905,14,32000,1,106
906,14,34003,1,114
907,14,34103,1,112
908,14,34100,1,307
909,14,34100,1,107
910,14,43411,0,350
911,14,41000,1,308
912,14,41000,1,302
913,14,41000,1,305
914,14,45000,1,301
915,14,40008,1,310
916,14,43001,0,307
917,14,43401,0,314
918,14,46820,1,757
919,14,46740,1,756
920,14,49420,1,190
921,14,46680,1,758
922,14,46640,1,755
923,14,46540,1,753
924,14,46520,1,762
925,14,46570,1,763
926,14,46550,1,754
927,14,46690,1,760
928,14,46590,1,750
929,14,46770,1,759
930,14,46650,1,761
931,14,46703,1,602
932,14,46605,1,601
933,14,46503,1,604
934,14,46502,1,607
935,14,46602,1,606
936,14,46701,1,605
937,14,46604,1,603
938,14,49400,1,713
939,14,30000,1,109
940,14,38101,1,110
941,14,32001,1,100
942,14,34100,1,117
943,14,34103,1,120
944,14,43001,0,306
945,14,43401,0,312
946,14,43401,0,313
947,15,38100,1,127
948,15,30300,1,113
949,15,30001,1,100
950,15,38101,1,106
951,15,32101,1,107
952,15,32200,1,111
953,15,32102,1,103
954,15,34100,1,109
955,15,34200,1,120
956,15,34101,1,104
957,15,34101,1,307
958,15,43411,0,360
959,15,41000,1,302
960,15,41000,1,312
961,15,41000,1,308
962,15,45000,1,306
963,15,40002,1,305
964,15,43001,0,300
965,15,43401,0,313
966,15,46810,1,757
967,15,46630,1,756
968,15,49430,1,190
969,15,46670,1,763
970,15,46580,1,750
971,15,46540,1,754
972,15,46740,1,761
973,15,46770,1,760
974,15,46510,1,753
975,15,46710,1,759
976,15,46620,1,755
977,15,46650,1,762
978,15,46550,1,758
979,15,46605,1,601
980,15,46704,1,607
981,15,46606,1,603
982,15,46504,1,605
983,15,46701,1,606
984,15,46505,1,604
985,15,46603,1,602
986,15,30300,1,117
987,15,30300,1,313
988,15,32102,1,101
989,15,34101,1,110
990,15,34200,1,114
991,15,45000,1,314
992,15,40007,1,301
993,15,40009,1,108
994,16,21000,1,110
995,16,30001,1,126
996,16,30301,1,113
997,16,38000,1,111
998,16,38100,1,120
999,16,32200,1,109
1000,16,32201,1,106
1001,16,32102,1,117
1002,16,34101,1,101
1003,16,34300,1,103
1004,16,34002,1,104
1005,16,34101,1,107
1006,16,43020,0,360
1007,16,41000,1,306
1008,16,41000,1,116
1009,16,41000,1,108
1010,16,45000,1,301
1011,16,40004,1,305
1012,16,43501,0,308
1013,16,43400,0,314
1014,16,46910,1,757
1015,16,46680,1,756
1016,16,49420,1,190
1017,16,46740,1,759
1018,16,46520,1,762
1019,16,46670,1,754
1020,16,46660,1,760
1021,16,46510,1,763
1022,16,45510,1,755
1023,16,46710,1,761
1024,16,46550,1,753
1025,16,46590,1,758
1026,16,46570,1,750
1027,16,46605,1,602
1028,16,46704,1,604
1029,16,46505,1,607
1030,16,46502,1,606
1031,16,46703,1,601
1032,16,46602,1,605
1033,16,46603,1,603
1034,16,30301,1,112
1035,16,30301,1,114
1036,16,38100,1,100
1037,16,32102,1,313
1038,16,40000,1,302
1039,16,43400,0,300
1040,16,43501,0,312
1041,17,30301,1,129
1042,17,30300,1,104
1043,17,38000,1,106
1044,17,38001,1,112
1045,17,32101,1,100
1046,17,32100,1,117
1047,17,32001,1,114
1048,17,34104,1,307
1049,17,34103,1,110
1050,17,34000,1,101
1051,17,34000,1,103
1052,17,43020,0,364
1053,17,41000,1,308
1054,17,41000,1,108
1055,17,41000,1,301
1056,17,45000,1,300
1057,17,40009,1,305
1058,17,43000,0,312
1059,17,43501,0,306
1060,17,46820,1,757
1061,17,46640,1,756
1062,17,49410,1,190
1063,17,46520,1,753
1064,17,46540,1,761
1065,17,46670,1,758
1066,17,46580,1,755
1067,17,46590,1,759
1068,17,46620,1,763
1069,17,46650,1,760
1070,17,46710,1,750
1071,17,46690,1,754
1072,17,46770,1,762
1073,17,46800,1,601
1074,17,46604,1,605
1075,17,46701,1,602
1076,17,46606,1,604
1077,17,46503,1,607
1078,17,46505,1,606
1079,17,46703,1,603
1080,17,30300,1,120
1081,17,38000,1,313
1082,17,32001,1,107
1083,17,34104,1,113
1084,17,34000,1,109
1085,17,45000,1,116
1086,17,40000,1,310
1087,17,43000,0,302
1088,18,20600,1,107
1089,18,38000,1,124
1090,18,30000,1,110
1091,18,30300,1,307
1092,18,38101,1,103
1093,18,32000,1,104
1094,18,32100,1,109
1095,18,32200,1,111
1096,18,34102,1,313
1097,18,34100,1,100
1098,18,34001,1,106
1099,18,34102,1,117
1100,18,43020,0,356
1101,18,41000,1,312
1102,18,41000,1,308
1103,18,41000,1,310
1104,18,45000,1,301
1105,18,40000,1,302
1106,18,43501,0,305
1107,18,43000,0,313
1108,18,46820,1,757
1109,18,46660,1,756
1110,18,49420,1,190
1111,18,46630,1,763
1112,18,46680,1,761
1113,18,46580,1,754
1114,18,46670,1,750
1115,18,46710,1,759
1116,18,46570,1,755
1117,18,46590,1,762
1118,18,46770,1,753
1119,18,45510,1,760
1120,18,46550,1,758
1121,18,46801,1,603
1122,18,46604,1,606
1123,18,46701,1,607
1124,18,46606,1,602
1125,18,46504,1,604
1126,18,46503,1,601
1127,18,46703,1,605
1128,18,30300,1,114
1129,18,38101,1,113
1130,18,32000,1,101
1131,18,34102,1,112
1132,18,43000,0,300
1133,18,43501,0,314
1134,18,43000,0,307
1135,19,30001,1,123
1136,19,30300,1,307
1137,19,38001,1,107
1138,19,38000,1,104
1139,19,32000,1,111
1140,19,32102,1,100
1141,19,32101,1,109
1142,19,34300,1,113
1143,19,34200,1,110
1144,19,34100,1,112
1145,19,34300,1,114
1146,19,45010,1,352
1147,19,41000,1,314
1148,19,41000,1,306
1149,19,41000,1,108
1150,19,45000,1,116
1151,19,40001,1,312
1152,19,43001,0,305
1153,19,43000,0,300
1154,19,46880,1,757
1155,19,46680,1,756
1156,19,49430,1,190
1157,19,46670,1,750
1158,19,46530,1,760
1159,19,46630,1,763
1160,19,46580,1,754
1161,19,46620,1,761
1162,19,46650,1,755
1163,19,46510,1,762
1164,19,46570,1,758
1165,19,46550,1,753
1166,19,45510,1,759
1167,19,46504,1,602
1168,19,46503,1,606
1169,19,46602,1,601
1170,19,46703,1,604
1171,19,46606,1,605
1172,19,46700,1,607
1173,19,46605,1,603
1174,19,30001,1,103
1175,19,32102,1,106
1176,19,34300,1,101
1177,19,34300,1,313
1178,19,34200,1,117
1179,19,40008,1,308
1180,19,43001,0,310
1181,19,43001,0,301
1182,20,30301,1,129
1183,20,30300,1,104
1184,20,38001,1,109
1185,20,38100,1,100
1186,20,32000,1,114
1187,20,32102,1,307
1188,20,32000,1,112
1189,20,34200,1,101
1190,20,34300,1,113
1191,20,34200,1,117
1192,20,41010,1,364
1193,20,41000,1,108
1194,20,41000,1,312
1195,20,41000,1,301
1196,20,40001,1,305
1197,20,43000,0,310
1198,20,43501,0,308
1199,20,46820,1,757
1200,20,46540,1,756
1201,20,49410,1,190
1202,20,46680,1,762
1203,20,46520,1,761
1204,20,46670,1,755
1205,20,46650,1,760
1206,20,45510,1,763
1207,20,46570,1,750
1208,20,46050,0,652
1209,20,46020,0,642
1210,20,46060,0,617
1211,20,46030,0,662
1212,20,46040,0,640
1213,20,46000,0,648
1214,20,46010,0,628
1215,20,46010,0,659
1216,20,46020,0,647
1217,20,46010,0,655
1218,20,46060,0,641
1219,20,46020,0,627
1220,20,46020,0,618
1221,20,46040,0,615
1222,20,46000,0,656
1223,20,46000,0,645
1224,20,46060,0,644
1225,20,46000,0,654
1226,20,46030,0,646
1227,20,46040,0,632
1228,20,46030,0,631
1229,20,46060,0,629
1230,20,46040,0,649
1231,20,46050,0,643
1232,20,46000,0,639
1233,20,46060,0,660
1234,20,46000,0,651
1235,20,46010,0,630
1236,20,46040,0,653
1237,20,46030,0,620
1238,20,46060,0,650
1239,20,46040,0,661
1240,20,46605,1,606
1241,20,46700,1,607
1242,20,46602,1,605
1243,20,46503,1,602
1244,20,49400,1,718
1245,20,30301,1,313
1246,20,34300,1,110
